nombre,recomendacion de itinerario,direccion,estado,enlace al sitio en google maps
TAQUERÍA LAS MUÑECAS,https://www.youtube.com/embed/6UAeyOT4qLQ,"Toltecas, MZ. 58 Lte. 3, col. Santo Domingo, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3222721%2C-99.16358749999999&query_place_id=ChIJOUaAXTwAzoURQI9675EWUro
LA CAÑITA,https://www.youtube.com/embed/0BlC5LZ9TGo,"Dr. Andrade #24, col. Doctores",Cerrado permanentemente,
"MAFALDA, RESTAURANTE ARGENTINO",https://www.youtube.com/embed/YmMgja1OxD8,"Hidalgo #10, col. Del Carmen, Coyoacán",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3513444%2C-99.15182279999999&query_place_id=ChIJrRVBDc7_0YURS3A-_K_nLaU
KIIN THAI- VIET EATERY,https://www.youtube.com/embed/PLITJOvDhME,"Orizaba # 219, col. Roma Norte, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4119958%2C-99.1583526&query_place_id=ChIJd-U8b5L_0YUR5kyuCWshsYw
MARCEVA,https://www.youtube.com/embed/n5nfst9hU-g,"Calle Mariano Quevedo #17, Morelia, Mich.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.6757394%2C-101.2300853&query_place_id=ChIJFzw7LhYMLYQR8qdf1GKs2sg
CACTUX,https://www.youtube.com/embed/4Q226VW-KrU,"Calle Héroe de Nacozari #191, Morelia, Mich.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.7070802%2C-101.1891812&query_place_id=ChIJQfFxxG0OLYQRwbmCZEi_wDg
CAFÉ BUDAPEST,https://www.youtube.com/embed/ipA0GM5zcmM,"Avenida Tamaulipas #130, col. Hipódromo Condesa",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4096874%2C-99.175387&query_place_id=ChIJxe3OggIC0oUR7kqUbhslSxE
PANADERÍA MADRID,https://www.youtube.com/embed/fMCsCrZpwZc,"Calle 5 de Febrero 25, Centro histórico, Ciudad de México.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4297138%2C-99.13489159999999&query_place_id=ChIJpQvHedL-0YUROQORiQ-QgbI
BITUTE,https://www.youtube.com/embed/b7Jy9VtCI3w,"Florencia #18, Col. Juárez, Ciudad de México",Cerrado temporalmente,https://www.google.com/maps/search/?api=1&query=18.8229181%2C-99.1893733&query_place_id=ChIJheovDCp2zoUR_cufcVWL6Ng
PASTELERÍA LA MINIATURA,https://www.youtube.com/embed/dSV8xBhpMyY,"Av. Niños Héroes #64, col. Doctores.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4243533%2C-99.1491394&query_place_id=ChIJWfsVGin_0YURF81wCnMTdRU
HELADOS MAQUIXCO,https://www.youtube.com/embed/molxbtaM4NA,"Bahía de Santa Bárbara #102 A, Col. Verónica Anzures",Cerrado temporalmente,https://www.google.com/maps/search/?api=1&query=19.685445%2C-98.890833&query_place_id=ChIJ0yqeJAbr0YURiGYrmY2v3_o
TACOS “LA MORENA”,https://www.youtube.com/embed/v3OCaPrIlBk,"Lago Gascasónica #111, col. San Diego Ocoyoacac",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4614366%2C-99.1924387&query_place_id=ChIJ-5Rg-Z340YURkIvpjfLxpbw
EL DUX DE VENECIA,https://www.youtube.com/embed/KSnZR1wZUz8,"Avenida Azcapotzalco # 586, centro de Azcapotzalco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4798842%2C-99.18680359999999&query_place_id=ChIJAV4eTH740YUR6VsvbX9lb3I
ASU MECHA,https://www.youtube.com/embed/84b6Li5Emls,"Miguel Schultz #10 D, col. San Rafael",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.3771045%2C-99.1742711&query_place_id=ChIJMe4YpAT_0YURzeOHxo30upA
TACOS DE CANASTA “LA ABUELA”,https://www.youtube.com/embed/OjvvsTS945A,"Camino a Nextengo #137, col. Sta. Cruz Acayucan",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4740387%2C-99.19262259999999&query_place_id=ChIJBQ9i-34C0oURUxz13I-l5IE
TACOS LAS TABLITAS,https://www.youtube.com/embed/FdfzsTn__SI,"Felipe Carrillo Puerto #223, col. Popotla, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4508447%2C-99.1799757&query_place_id=ChIJ6RPtPKP40YURhUnrPDMhn3c
TAQUERÍA 'LA CONSENTIDA',https://www.youtube.com/embed/fUu7HwBP_6w,"Mercado Jorge Jiménez Cantú, Av. Del Valle Del Yang-Tse Local 186, Valle de Aragón 1ra Secc, 57100 Nezahualcóyotl, Méx.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4911753%2C-99.0557341&query_place_id=ChIJHdOx4BP70YURMjC07iKEL04
RESTAURANTE ALBA,https://www.youtube.com/embed/TCVk1GeKsuA,"Marsella 80, col. Juárez, del. Cuauhtémoc, C.P. 06600, Ciudad de México.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4246364%2C-99.16081249999999&query_place_id=ChIJQ7PTnCQB0oUR3BM4Eyrbo_4
SWEET GIRL MOVES,https://www.youtube.com/embed/9az1lmeRKXE,"Av. Yucatan #3, col. Hipódromo Condesa, delegación Cuauhtémoc, CP 06100, CDMX.",Cerrado permanentemente,
CAFÉ CORTEZ,https://www.youtube.com/embed/EoF4xxYWgYA,"Gómez Farías #8, col. Centro, Chihuahua, Chih.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3133162%2C-99.25770630000001&query_place_id=ChIJf4zKwEH_zYURv_fZuFGdHRg
"CAMINO A COMALA, CAFETERIA",https://www.youtube.com/embed/Et0QssSNddw,"Mariano Azuela 27, Santa María la Ribera, deleg. Cuauhtémoc, CP 06400, CDMX, México.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4429339%2C-99.1549773&query_place_id=ChIJsb0jbND40YURqGXQnLNHEV4
MOSHE'S COCINA JUDÍA,https://www.youtube.com/embed/uQjfHRsMsjw,"Havre 83, Colonia Juárez",Cerrado permanentemente,
"MARI'S PATRY, PATISSERÍA FINA JAPONESA",https://www.youtube.com/embed/MGvdftzxPGs,Heriberto Frías 438# col. Narvarte Poniente,En operaciones,https://www.google.com/maps/search/?api=1&query=19.3948439%2C-99.159538&query_place_id=ChIJq46vTA7_0YUR8pVYIkac2jo
BELLO CAFÉ,https://www.youtube.com/embed/bY3TxDH8DR4,"Manuel Carpio #158, Sta. María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4509696%2C-99.159672&query_place_id=ChIJn-mInsP40YURtIHJD6Kicoc
MARÍA CIENTO 38,https://www.youtube.com/embed/SGiSBt8Ybkw,"Santa María La Ribera #138, col. Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4480411%2C-99.15731939999999&query_place_id=ChIJOZ0ZycT40YURaxp6_jHJw-8
SCARY WITCHES BAR,https://www.youtube.com/embed/o4FvNLqMe_g,Oslo #3 Zona Rosa 06600 Ciudad de México,En operaciones,https://www.google.com/maps/search/?api=1&query=19.427814%2C-99.163613&query_place_id=ChIJJX-AaTT_0YURL141ygKE_5I
GATORTA,https://www.youtube.com/embed/1JMOvlPgSI4,"Puebla #182, Col. Roma",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4220761%2C-99.1631512&query_place_id=ChIJgQVlpzf_0YURooKQklmPsqc
FAT BOY MOVES,https://www.youtube.com/embed/h26zRhWKc14,"Tamaulipas #147, col. Hipódromo Condesa",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.4093424%2C-99.1761251&query_place_id=ChIJlbl19UL_0YURc-0obH7jD2c
EL LECHÓN ILUSTRADO,https://www.youtube.com/embed/j4XqAGcQigQ,"Truco #5, col. Centro, Guanajuato",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=21.0165942%2C-101.2521084&query_place_id=ChIJ7z4t5wd0K4QRzTEomK-14Ms
BRASA RODIZIO DE PIZZAS,https://www.youtube.com/embed/BOGV0aq1rRw,"Coahuila #148, Roma, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.0634389%2C-98.3040307&query_place_id=ChIJARqEzYjHz4URkudeIdlYQxc
PAN DE NUBE,https://www.youtube.com/embed/kYpLyO20bik,"Diagonal San Antonio #922, col. Del Valle.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3925545%2C-99.16216849999999&query_place_id=ChIJ5ayW_w7_0YUR9oATRrSQb5I
"SABOR DE LUNA, COMIDA PREHISPÁNICA",https://www.youtube.com/embed/-32bDXCU7Bs,"Guadalupe I. Ramírez #180, col. San Marcos, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.2653951%2C-99.10502579999999&query_place_id=ChIJle2Jwl4BzoURk17pOxlfmZs
GIROFLE,https://www.youtube.com/embed/vLfl3tt4O7E,"2 ote. 15-b col. centro 72000 Puebla de Zaragoza, México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.0444233%2C-98.1969263&query_place_id=ChIJJwI7B-fAz4URSGHwOUGf4Ss
LA PASITA,https://www.youtube.com/embed/8yfaOdY8OT4,"Av. 5 Oriente #602, Centro, Puebla de Zaragoza",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3878306%2C-99.05016769999999&query_place_id=ChIJJ4kFSgL90YURpuWdyecpfDc
Sabores de San Pedro Cholula y Puebla,https://www.youtube.com/embed/fu1laxseKlU,"6 Norte #602, Barrio de Jesús Tlatempa, San Pedro Cholula",En operaciones,https://www.google.com/maps/search/?api=1&query=19.0492889%2C-98.3098711&query_place_id=ChIJ7VzNWjTJz4URaMZd9Ja0iuI
RESTAURANTE JAUJA,https://www.youtube.com/embed/aIhPrLpbUms,"Irlanda #17, San Andrés Coyoacán",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4364653%2C-99.15003809999999&query_place_id=ChIJNzKLMdL40YURMmumfRkDFgQ
CAT CAFÉ DE LA GATERÍA,https://www.youtube.com/embed/OBcq_AFApYk,"Tabasco #337, col. Roma Norte",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3889926%2C-99.1857069&query_place_id=ChIJdZb0GZb_0YURKqNa-lIlTgs
RESTAURANTE EL MIRÓN,https://www.youtube.com/watch?v=g7-mDZT1i1M&pp=ygUUZWwgbWlyw7NuIGl0aW5lcmFyaW8%3D,"Salvador Díaz Mirón #147-C, col. Sta. María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4481279%2C-99.15425499999999&query_place_id=ChIJkQ6OLv350YURaUni3tAlahs
BRAVO LONCHERÍA,www.youtube.com/embed/JyscDCNWvZs,"Río Sena #87, col. Cuauhtémoc",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4297029%2C-99.165932&query_place_id=ChIJDVEeEDX_0YURvVBnPfvIbnQ
DELICIAS FRANCESAS,www.youtube.com/embed/Ai40Yh0ST-o,"Tehuantepec y Chilpancingo, col. Roma",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.4039278%2C-99.1685023&query_place_id=ChIJ0R6IPmv_0YURFDSVJnByc78
LE MAISON DE FAMILLE,www.youtube.com/embed/Ai40Yh0ST-o,"Colima #152, col. Roma, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=44.7998012%2C1.6184326&query_place_id=ChIJ8ex7hUrErBIRj1gUM43aZGA
LE PETIT RESTO,www.youtube.com/embed/Ai40Yh0ST-o,"San Antonio #100, col. Nápoles",En operaciones,https://www.google.com/maps/search/?api=1&query=19.385411%2C-99.17843599999999&query_place_id=ChIJ-WKzjHf_0YUR2I6arwZKZqU
BIRRIERÍAS EN LAS 9 ESQUINAS,www.youtube.com/embed/1yQ39kH-cLg,"Plaza de las 9 esquinas, Centro, Guadalajara, Jal.",En operaciones,https://www.google.com/maps/search/?api=1&query=20.6706857%2C-103.348513&query_place_id=ChIJSYBc7PmxKIQRr7dE1qkQKkU
VEGETARIANISMO URBANO,www.youtube.com/embed/DRd-c1TlZ_0,"Av. Bucareli #69, col. Juárez",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4384571%2C-99.137541&query_place_id=ChIJgVR6BlL50YURSXz_dL78jH4
VINÍCOLA URBANA,www.youtube.com/embed/ozxJf9rv0SA,"Presidente Masaryk #29, Polanco",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.382513%2C-99.2531281&query_place_id=ChIJpy7D0az40YURttiGkQjYC3E
CASA MERLOS,www.youtube.com/embed/Le76dKWiesw,"Victoriano Zepeda no. 80, col. Observatorio, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4049084%2C-99.1965597&query_place_id=ChIJZbtxwd0B0oURxleYUjCVgyU
RESTAURANTE “CAFÉ GOURMET” - COMIDA IRANÍ,www.youtube.com/embed/JeP_GcthwYQ,"Tomás Alva Edison no. 95, col. Tabacalera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.373903%2C-99.15631409999999&query_place_id=ChIJD1ti-a__0YURw9oZ313AU7A
ESCONDITE,www.youtube.com/embed/1b7XHucgViw,"Francisco Pimentel no. 3, col. San Rafael",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4184148%2C-99.1069887&query_place_id=ChIJK2SdH6T-0YURgv2RUOp7Qq0
COMEDOR VEGETARIANO KRISHNA,www.youtube.com/embed/XrL11YGeT1o,"Tiburcio Montiel #45, col. San Miguel Chapultepec",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4129661%2C-99.1858637&query_place_id=ChIJnwoegln_0YURJ6jmfv7B8yI
BAR ARTEMISIA,http://www.youtube.com/embed/ky1evD8ev5c,"Tonalá #23, col. Roma",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4207222%2C-99.1634612&query_place_id=ChIJvYjjXDf_0YUR3wZXAO6MFKo
FINCA VAI,http://www.youtube.com/embed/0uw22FRkGoY,"Carretera Querétaro-Tequisquiapan km 30, Municipio de Colón, Querétaro",En operaciones,https://www.google.com/maps/search/?api=1&query=20.59794399999999%2C-100.123687&query_place_id=ChIJWyMcOYJv04URgZtwAI7VhBs
RESTAURANTE CHAMULAS,http://www.youtube.com/embed/h30xYSxnIzE,"Bolívar #438, col. Obrera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3984989%2C-99.15132489999999&query_place_id=ChIJJR0fURv_0YUR9GsU5vzYCno
BAR LILITH,http://www.youtube.com/embed/B1UGZiC1MdA,"Orizaba #125, int. E, col. Roma, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4106769%2C-99.08325900000001&query_place_id=ChIJybWW9n390YURw3lk-YI8eOc
RESTAURANTE BAR COMICX,http://www.youtube.com/embed/EhUQejo2USw,"Av. Santa Fe #94, col. Santa Fe, Distrito Federal",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4505653%2C-99.1512006&query_place_id=ChIJge_h5Nv40YURmjwxHgr2Vz0
MUSEO DEL CHOCOLATE,http://www.youtube.com/embed/S-jRWrs8x1U,"Milán #45 esq. Roma, col. Juárez, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4294473%2C-99.15723369999999&query_place_id=ChIJfbxVhjL_0YURCiDlh4xnSpM
POZOLERÍA LOS TOLUCOS,,"Hernández y Dávalos #40, col. Algarín",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4068473%2C-99.1425524&query_place_id=ChIJz3Kw_uD-0YURQ_sDPVeDXfs
RESTAURANTE “CON SABOR A TIXTLA”,https://www.youtube.com/watch?v=5xuw8O-MbNY&pp=ygUj4oCcQ09OIFNBQk9SIEEgVElYVExB4oCdIGl0aW5lcmFyaW8%3D,"Chiapas # 206, entre Manzanillo y Medellín, col. Roma, Ciudad de México",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.4116387%2C-99.1657027&query_place_id=ChIJneg9uT__0YURFpcFa7jLc5g
CAFÉ MINICHELISTA,http://www.youtube.com/embed/videoseries?list=PL37695F163037D1D0&hl=es_MX,"Guanábana #197, col. Nueva Santa María",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4653939%2C-99.16817359999999&query_place_id=ChIJh6ixyZL40YUR7DsNkbMfToE
TIERRA ADENTRO,https://www.youtube.com/embed/o_RNxrMgoN0,"Av. Nevado #112, col. Portales",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3596185%2C-99.1485749&query_place_id=ChIJu9XkWSf_0YURt7AOecCIv4w
RINCÓN UKRANIANO,https://www.youtube.com/embed/Q5DS9SU9gB0,"Diagonal San Antonio #1513, col. Narvarte",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.3665276%2C-99.1668392&query_place_id=ChIJ2xD7Lhv_0YURRgCDjx86ssM
EL MOUSTRON NARVARTE,https://www.youtube.com/embed/KDioMtVL-nM,"Esperanza 1205, Narvarte Oriente, Benito Juárez, 03020 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3999963%2C-99.1509901&query_place_id=ChIJX4-3fxv_0YUREj5H6QLWU74
SONORA STREET FOOD,https://www.youtube.com/embed/KDioMtVL-nM,"Monterrey 293, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4081413%2C-99.1618038&query_place_id=ChIJNebHAxb_0YUR-9ieRP1LiK0
TACOS SONOLOA,https://www.youtube.com/embed/KDioMtVL-nM,"Ahorro Postal#925 Esquina Simon Bolivar, Niños Héroes, Benito Juárez, 03440 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.38908799999999%2C-99.145206&query_place_id=ChIJkyaxLv7-0YURjUZwwKV1A3s
RESTAURANTE FRITZ,https://www.youtube.com/embed/cnNGmixokOg,"Av. Dr. Río de la Loza 221, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.425835%2C-99.15138759999999&query_place_id=ChIJo2qXsy7_0YURgS65Rp3YrAE
TAMALES EMPORIO,https://www.youtube.com/embed/yivfPavVzb0,"Manuel María Contreras 18-A, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4413636%2C-99.16395759999999&query_place_id=ChIJk7yu7sj40YURneHUDIgOy0o
TAMALITO CORAZÓN,https://www.youtube.com/embed/yivfPavVzb0,"Av. Cuauhtémoc 1, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4186536%2C-99.154423&query_place_id=ChIJF9iLDiX_0YURrBXdxbazStE
